SurveyID,ParticipantID,EventID,EventDateTimeStart,SurveySatisfactionScore,SurveyUsefulnessScore,SurveyInstructorScore,SurveyRecommendationScore,SurveyRecommendationID,SurveyOverallScore,SurveyComments,SurveySubmissionDate
103,78,3,2024-04-02 10:00:00,5,4,5,5,2,4.75,"The mentors were down-to-earth and answered real questions, the mentor roundtable during Girls in STEAM Mentoring really clicked for me; This pushed me to apply for a related program. The organizers ran things smoothly even with a big crowd, the mentor roundtable during Girls in STEAM Mentoring really clicked for me; This was absolutely worth the time. The resume clinic during Girls in STEAM Mentoring really clicked for me, the organizers ran things smoothly even with a big crowd.",2024-04-02 23:22:00
104,78,1,2025-06-15 10:00:00,4,4,4,4,1,4,"In my opinion, it boosted my confidence more than I expected, the resume clinic during Mentor Office Hours really clicked for me; I might recommend it depending on the topic. The networking breakouts during Mentor Office Hours really clicked for me, I left with actionable next steps; I might recommend it depending on the topic. If I'm being honest, the networking breakouts during Mentor Office Hours really clicked for me, I met people who want to collaborate on projects; I might recommend it depending on the topic.",2025-06-16 06:21:00
105,79,3,2022-06-07 10:00:00,4,4,4,5,2,4.25,"At first, the panel Q&A during Girls in STEAM Mentoring really clicked for me, the pacing made complex ideas feel doable. From my perspective, I left with actionable next steps, the mentor roundtable during Girls in STEAM Mentoring really clicked for me; It was useful overall!",2022-06-09 04:27:00
106,80,10,2025-09-15 10:00:00,4,5,4,4,1,4.25,"By the end, the pacing made complex ideas feel doable, the sketch warmups during Monthly Art Studio Workshop really clicked for me; I'd attend again with a clearer agenda. From my perspective, the mentors were down-to-earth and answered real questions, the mixed-media project during Monthly Art Studio Workshop really clicked for me; I'd attend again with a clearer agenda!",2025-09-15 14:11:00
107,81,1,2023-10-08 10:00:00,4,4,5,5,2,4.5,"At first, the networking breakouts during Mentor Office Hours really clicked for me, the hands-on segment tied everything together; I left energized to keep learning. The panel Q&A during Mentor Office Hours really clicked for me, there were concrete examples I can reuse at school; I'd definitely recommend this to a friend! If I'm being honest, the networking breakouts during Mentor Office Hours really clicked for me, there were concrete examples I can reuse at school.",2023-10-08 14:22:00
108,82,5,2023-07-06 10:00:00,3,5,4,5,2,4.25,"The organizers ran things smoothly even with a big crowd, the watercolor session during Intro to Painting Class really clicked for me — which surprised me in a good way. From my perspective, there were concrete examples I can reuse at school, the sketch warmups during Intro to Painting Class really clicked for me!",2023-07-07 11:19:00
109,82,1,2025-05-25 10:00:00,5,5,5,5,2,5,"The organizers ran things smoothly even with a big crowd, the resume clinic during Mentor Office Hours really clicked for me; I'd definitely recommend this to a friend. I met people who want to collaborate on projects, the mentor roundtable during Mentor Office Hours really clicked for me; I'd definitely recommend this to a friend! The goal-setting exercise during Mentor Office Hours really clicked for me, the mentors were down-to-earth and answered real questions.",2025-05-26 09:11:00
110,83,1,2022-08-21 10:00:00,4,4,5,5,2,4.5,"At first, I met people who want to collaborate on projects, the networking breakouts during Mentor Office Hours really clicked for me. The mentor roundtable during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd; This was absolutely worth the time.",2022-08-23 06:02:00
111,84,1,2025-09-14 10:00:00,5,4,5,5,2,4.75,"I met people who want to collaborate on projects, the networking breakouts during Mentor Office Hours really clicked for me; I left energized to keep learning. — especially for beginners. From my perspective, the pacing made complex ideas feel doable, the networking breakouts during Mentor Office Hours really clicked for me; This was absolutely worth the time. The hands-on segment tied everything together, the panel Q&A during Mentor Office Hours really clicked for me.",2025-09-15 19:14:00
112,85,1,2022-12-11 10:00:00,5,4,4,4,1,4.25,"The pacing made complex ideas feel doable, the goal-setting exercise during Mentor Office Hours really clicked for me — which surprised me in a good way. The pacing made complex ideas feel doable, the panel Q&A during Mentor Office Hours really clicked for me (snacks were a plus).",2022-12-12 19:16:00
113,86,1,2022-11-06 10:00:00,5,4,5,3,3,4.25,"At first, the resume clinic during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd; I might recommend it depending on the topic. The goal-setting exercise during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I'm curious to see how the next session improves. In my opinion, the resume clinic during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd!",2022-11-08 06:07:00
114,87,1,2023-10-15 10:00:00,5,4,5,5,2,4.75,"In my opinion, the hands-on segment tied everything together, the mentor roundtable during Mentor Office Hours really clicked for me; I left energized to keep learning! Surprisingly, the mentors were down-to-earth and answered real questions, the resume clinic during Mentor Office Hours really clicked for me. By the end, the organizers ran things smoothly even with a big crowd, the panel Q&A during Mentor Office Hours really clicked for me; I left energized to keep learning.",2023-10-16 00:10:00
115,87,2,2024-07-13 10:00:00,3,4,3,4,1,3.5,"To be fair, slides were dense, though the discussion helped, and the Arduino demo was helpful during Robotics Lab Saturday — especially for beginners. Some sections moved quickly but were still useful, and the web dev sprint was helpful during Robotics Lab Saturday (wish there had been more time). The room was a bit crowded, yet the content landed, and the Python lab was helpful during Robotics Lab Saturday — next time I'd bring a friend. If I'm being honest, some sections moved quickly but were still useful, and the coding challenges was helpful during Robotics Lab Saturday. I might recommend it depending on the topic.",2024-07-14 16:11:00
116,89,2,2025-05-03 10:00:00,5,3,4,5,2,4.25,"The Arduino demo during Robotics Lab Saturday really clicked for me, the hands-on segment tied everything together; It was useful overall. — next time I'd bring a friend. I left with actionable next steps, the robot build during Robotics Lab Saturday really clicked for me — especially for beginners. I left with actionable next steps, the web dev sprint during Robotics Lab Saturday really clicked for me — especially for beginners! At first, the data activity during Robotics Lab Saturday really clicked for me, the pacing made complex ideas feel doable — next time I'd bring a friend.",2025-05-04 01:20:00
117,90,7,2021-12-15 10:00:00,5,4,5,5,2,4.75,"By the end, it boosted my confidence more than I expected, the resume clinic during Leadership Circle Meetup really clicked for me (snacks were a plus). Honestly, the organizers ran things smoothly even with a big crowd, the resume clinic during Leadership Circle Meetup really clicked for me.",2021-12-15 15:00:00
118,91,8,2022-06-24 10:00:00,4,3,4,5,2,4,"I didn't expect this, but, the mentors were down-to-earth and answered real questions, the robot build during Web Dev Bootcamp Night really clicked for me (snacks were a plus). I didn't expect this, but, the hands-on segment tied everything together, the Arduino demo during Web Dev Bootcamp Night really clicked for me; I'm curious to see how the next session improves! From my perspective, the pacing made complex ideas feel doable, the Arduino demo during Web Dev Bootcamp Night really clicked for me; I might recommend it depending on the topic.",2022-06-25 18:19:00
119,91,2,2025-05-03 10:00:00,4,5,4,4,1,4.25,"The coding challenges during Robotics Lab Saturday really clicked for me, the mentors were down-to-earth and answered real questions. I didn't expect this, but, the web dev sprint during Robotics Lab Saturday really clicked for me, I left with actionable next steps (snacks were a plus).",2025-05-04 23:13:00
120,91,9,2023-06-15 10:00:00,4,5,5,5,2,4.75,"The pacing made complex ideas feel doable, the breakout workshops during Ella Rises Annual Leadership Conference really clicked for me; This pushed me to apply for a related program. (snacks were a plus).",2023-06-15 13:20:00
121,92,2,2025-01-04 10:00:00,5,4,4,3,3,4,"It boosted my confidence more than I expected, the data activity during Robotics Lab Saturday really clicked for me. From my perspective, the mentors were down-to-earth and answered real questions, the Python lab during Robotics Lab Saturday really clicked for me — which surprised me in a good way!",2025-01-05 00:19:00
122,92,8,2022-03-25 10:00:00,5,4,5,4,1,4.5,"From my perspective, the hands-on segment tied everything together, the Python lab during Web Dev Bootcamp Night really clicked for me. The organizers ran things smoothly even with a big crowd, the Arduino demo during Web Dev Bootcamp Night really clicked for me; I'd definitely recommend this to a friend. The Python lab during Web Dev Bootcamp Night really clicked for me, the hands-on segment tied everything together.",2022-03-26 05:01:00
123,92,4,2024-04-15 10:00:00,5,4,5,5,2,4.75,"From my perspective, the Arduino demo during Monthly Coding Club really clicked for me, there were concrete examples I can reuse at school! The Python lab during Monthly Coding Club really clicked for me, the pacing made complex ideas feel doable.",2024-04-16 02:29:00
124,92,3,2025-10-28 10:00:00,4,5,5,5,2,4.75,"I didn't expect this, but, the mentors were down-to-earth and answered real questions, the networking breakouts during Girls in STEAM Mentoring really clicked for me. The mentor roundtable during Girls in STEAM Mentoring really clicked for me, the pacing made complex ideas feel doable; I'd come again and bring a classmate next time! The mentor roundtable during Girls in STEAM Mentoring really clicked for me, the pacing made complex ideas feel doable; I'd come again and bring a classmate next time!",2025-10-28 22:29:00
125,92,8,2022-05-13 10:00:00,5,4,4,4,1,4.25,"The coding challenges during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions. The data activity during Web Dev Bootcamp Night really clicked for me, the hands-on segment tied everything together; It was useful overall. (snacks were a plus). The Python lab during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions (snacks were a plus). Overall, the pacing made complex ideas feel doable, the coding challenges during Web Dev Bootcamp Night really clicked for me; I'm curious to see how the next session improves. (snacks were a plus).",2022-05-14 01:19:00
126,92,2,2022-04-09 10:00:00,5,4,4,5,2,4.5,"Honestly, the Arduino demo during Robotics Lab Saturday really clicked for me, there were concrete examples I can reuse at school; This was absolutely worth the time! From my perspective, the pacing made complex ideas feel doable, the data activity during Robotics Lab Saturday really clicked for me.",2022-04-10 12:25:00
127,92,6,2021-12-01 10:00:00,4,5,5,4,1,4.5,"The robot build during Data Science Study Group really clicked for me, the mentors were down-to-earth and answered real questions. To be fair, the coding challenges during Data Science Study Group really clicked for me, it boosted my confidence more than I expected!",2021-12-01 20:16:00
128,93,6,2025-02-05 10:00:00,4,5,5,4,1,4.5,"The coding challenges during Data Science Study Group really clicked for me, the hands-on segment tied everything together! Surprisingly, the coding challenges during Data Science Study Group really clicked for me, I met people who want to collaborate on projects; I'd come again and bring a classmate next time. The organizers ran things smoothly even with a big crowd, the Arduino demo during Data Science Study Group really clicked for me; I left energized to keep learning. (wish there had been more time).",2025-02-07 01:24:00
129,95,8,2022-01-14 10:00:00,5,4,4,5,2,4.5,"The coding challenges during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions; I'd definitely recommend this to a friend. (snacks were a plus). By the end, the Arduino demo during Web Dev Bootcamp Night really clicked for me, I left with actionable next steps; I left energized to keep learning.",2022-01-16 02:18:00
130,96,6,2024-05-22 10:00:00,5,4,4,4,1,4.25,"The Python lab during Data Science Study Group really clicked for me, the organizers ran things smoothly even with a big crowd. To be fair, I left with actionable next steps, the Python lab during Data Science Study Group really clicked for me; I'm curious to see how the next session improves! I didn't expect this, but, I met people who want to collaborate on projects, the Python lab during Data Science Study Group really clicked for me.",2024-05-23 14:11:00
131,96,3,2021-12-28 10:00:00,4,3,5,4,1,4,"The networking breakouts during Girls in STEAM Mentoring really clicked for me, I met people who want to collaborate on projects — next time I'd bring a friend. There were concrete examples I can reuse at school, the networking breakouts during Girls in STEAM Mentoring really clicked for me!",2021-12-29 00:12:00
132,97,8,2023-01-20 10:00:00,5,4,4,5,2,4.5,"The Arduino demo during Web Dev Bootcamp Night really clicked for me, there were concrete examples I can reuse at school; This was absolutely worth the time! By the end, the mentors were down-to-earth and answered real questions, the Arduino demo during Web Dev Bootcamp Night really clicked for me; This pushed me to apply for a related program. — which surprised me in a good way! Surprisingly, the data activity during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions — next time I'd bring a friend. By the end, the data activity during Web Dev Bootcamp Night really clicked for me, the organizers ran things smoothly even with a big crowd.",2023-01-21 13:18:00
133,98,1,2025-09-28 10:00:00,5,5,5,5,2,5,"The networking breakouts during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd; I left energized to keep learning. — especially for beginners. The mentors were down-to-earth and answered real questions, the networking breakouts during Mentor Office Hours really clicked for me; I left energized to keep learning.",2025-09-29 13:21:00
134,98,5,2025-08-21 10:00:00,4,5,4,4,1,4.25,"The mentors were down-to-earth and answered real questions, the gallery walk during Intro to Painting Class really clicked for me — next time I'd bring a friend. Overall, the pacing made complex ideas feel doable, the gallery walk during Intro to Painting Class really clicked for me. The hands-on segment tied everything together, the color theory lesson during Intro to Painting Class really clicked for me.",2025-08-22 11:24:00
135,99,3,2023-04-18 10:00:00,4,4,5,4,1,4.25,"If I'm being honest, the mentor roundtable during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected. The hands-on segment tied everything together, the mentor roundtable during Girls in STEAM Mentoring really clicked for me; It was useful overall!",2023-04-18 23:16:00
136,100,3,2023-01-10 10:00:00,5,5,5,4,1,4.75,"Overall, it boosted my confidence more than I expected, the mentor roundtable during Girls in STEAM Mentoring really clicked for me. The goal-setting exercise during Girls in STEAM Mentoring really clicked for me, I met people who want to collaborate on projects. The mentors were down-to-earth and answered real questions, the panel Q&A during Girls in STEAM Mentoring really clicked for me; This pushed me to apply for a related program.",2023-01-11 03:20:00
137,100,8,2023-09-08 10:00:00,4,4,5,4,1,4.25,"If I'm being honest, the coding challenges during Web Dev Bootcamp Night really clicked for me, the pacing made complex ideas feel doable. I didn't expect this, but, it boosted my confidence more than I expected, the data activity during Web Dev Bootcamp Night really clicked for me! To be fair, the web dev sprint during Web Dev Bootcamp Night really clicked for me, I left with actionable next steps; It was useful overall.",2023-09-10 03:23:00
138,101,1,2023-02-05 10:00:00,5,4,5,4,1,4.5,"The mentor roundtable during Mentor Office Hours really clicked for me, I left with actionable next steps; I left energized to keep learning. The mentors were down-to-earth and answered real questions, the goal-setting exercise during Mentor Office Hours really clicked for me! The pacing made complex ideas feel doable, the resume clinic during Mentor Office Hours really clicked for me.",2023-02-05 13:28:00
139,102,5,2023-08-03 10:00:00,3,4,4,5,2,4,"The watercolor session during Intro to Painting Class really clicked for me, the hands-on segment tied everything together. Overall, the mixed-media project during Intro to Painting Class really clicked for me, I left with actionable next steps; I'm curious to see how the next session improves.",2023-08-03 19:25:00
140,103,1,2023-01-01 10:00:00,5,3,4,5,2,4.25,"At first, I left with actionable next steps, the mentor roundtable during Mentor Office Hours really clicked for me; I'd attend again with a clearer agenda. The mentors were down-to-earth and answered real questions, the goal-setting exercise during Mentor Office Hours really clicked for me — next time I'd bring a friend! Honestly, the goal-setting exercise during Mentor Office Hours really clicked for me, I left with actionable next steps; It was useful overall. — especially for beginners.",2023-01-01 15:19:00
141,104,1,2022-10-30 10:00:00,4,5,4,5,2,4.5,"The organizers ran things smoothly even with a big crowd, the networking breakouts during Mentor Office Hours really clicked for me. The panel Q&A during Mentor Office Hours really clicked for me, the hands-on segment tied everything together; I left energized to keep learning. — which surprised me in a good way!",2022-10-30 18:21:00
142,104,3,2023-03-21 10:00:00,4,4,5,5,2,4.5,"The resume clinic during Girls in STEAM Mentoring really clicked for me, I left with actionable next steps; I left energized to keep learning. The goal-setting exercise during Girls in STEAM Mentoring really clicked for me, the organizers ran things smoothly even with a big crowd. The pacing made complex ideas feel doable, the mentor roundtable during Girls in STEAM Mentoring really clicked for me; This was absolutely worth the time.",2023-03-22 18:16:00
143,105,2,2025-09-27 10:00:00,5,5,4,5,2,4.75,"The web dev sprint during Robotics Lab Saturday really clicked for me, the pacing made complex ideas feel doable (wish there had been more time)! In my opinion, the Python lab during Robotics Lab Saturday really clicked for me, it boosted my confidence more than I expected. The robot build during Robotics Lab Saturday really clicked for me, I met people who want to collaborate on projects; I'd come again and bring a classmate next time. — especially for beginners!",2025-09-27 22:18:00
144,107,1,2024-06-30 10:00:00,4,4,5,5,2,4.5,"The networking breakouts during Mentor Office Hours really clicked for me, I left with actionable next steps; I left energized to keep learning. — which surprised me in a good way! From my perspective, I left with actionable next steps, the mentor roundtable during Mentor Office Hours really clicked for me.",2024-06-30 21:10:00
145,108,2,2024-08-03 10:00:00,5,4,5,5,2,4.75,"By the end, I left with actionable next steps, the Python lab during Robotics Lab Saturday really clicked for me; This pushed me to apply for a related program. In my opinion, the web dev sprint during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd. Honestly, it boosted my confidence more than I expected, the Arduino demo during Robotics Lab Saturday really clicked for me; This was absolutely worth the time.",2024-08-05 06:25:00
146,109,3,2022-11-15 10:00:00,5,5,5,5,2,5,"The hands-on segment tied everything together, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me; I'd come again and bring a classmate next time. (snacks were a plus).",2022-11-16 05:11:00
147,109,8,2023-12-15 10:00:00,5,5,4,4,1,4.5,"At first, the pacing made complex ideas feel doable, the robot build during Web Dev Bootcamp Night really clicked for me! Surprisingly, the coding challenges during Web Dev Bootcamp Night really clicked for me, the hands-on segment tied everything together; I'd come again and bring a classmate next time! The data activity during Web Dev Bootcamp Night really clicked for me, I met people who want to collaborate on projects; This was absolutely worth the time!",2023-12-16 05:14:00
148,110,6,2025-07-09 10:00:00,4,4,5,5,2,4.5,"The hands-on segment tied everything together, the coding challenges during Data Science Study Group really clicked for me! Honestly, the web dev sprint during Data Science Study Group really clicked for me, it boosted my confidence more than I expected. Surprisingly, the data activity during Data Science Study Group really clicked for me, it boosted my confidence more than I expected — next time I'd bring a friend.",2025-07-09 17:22:00
149,111,6,2025-06-18 10:00:00,3,5,4,5,2,4.25,"The coding challenges during Data Science Study Group really clicked for me, the organizers ran things smoothly even with a big crowd. Surprisingly, the data activity during Data Science Study Group really clicked for me, it boosted my confidence more than I expected. There were concrete examples I can reuse at school, the coding challenges during Data Science Study Group really clicked for me — which surprised me in a good way.",2025-06-19 12:14:00
150,112,1,2022-06-19 10:00:00,5,4,4,5,2,4.5,"The pacing made complex ideas feel doable, the resume clinic during Mentor Office Hours really clicked for me (snacks were a plus). It boosted my confidence more than I expected, the panel Q&A during Mentor Office Hours really clicked for me; I'd come again and bring a classmate next time. Surprisingly, the mentors were down-to-earth and answered real questions, the panel Q&A during Mentor Office Hours really clicked for me; This pushed me to apply for a related program. — next time I'd bring a friend.",2022-06-19 16:28:00
151,113,1,2024-06-16 10:00:00,5,5,5,5,2,5,"I met people who want to collaborate on projects, the goal-setting exercise during Mentor Office Hours really clicked for me; I'd come again and bring a classmate next time! If I'm being honest, the hands-on segment tied everything together, the goal-setting exercise during Mentor Office Hours really clicked for me; I'd definitely recommend this to a friend!",2024-06-16 23:11:00
152,115,8,2021-11-19 10:00:00,4,4,5,3,3,4,"The data activity during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions; I might recommend it depending on the topic. The coding challenges during Web Dev Bootcamp Night really clicked for me, it boosted my confidence more than I expected; I might recommend it depending on the topic.",2021-11-20 20:29:00
153,116,1,2023-11-26 10:00:00,5,4,5,4,1,4.5,"The panel Q&A during Mentor Office Hours really clicked for me, the hands-on segment tied everything together; This was absolutely worth the time. To be fair, the hands-on segment tied everything together, the mentor roundtable during Mentor Office Hours really clicked for me; I'd definitely recommend this to a friend. — next time I'd bring a friend.",2023-11-27 17:19:00
154,116,7,2024-10-15 10:00:00,4,4,5,5,2,4.5,"I didn't expect this, but, the goal-setting exercise during Leadership Circle Meetup really clicked for me, I met people who want to collaborate on projects; I'd definitely recommend this to a friend. By the end, the organizers ran things smoothly even with a big crowd, the goal-setting exercise during Leadership Circle Meetup really clicked for me. To be fair, the goal-setting exercise during Leadership Circle Meetup really clicked for me, there were concrete examples I can reuse at school.",2024-10-15 17:14:00
155,118,1,2023-08-27 10:00:00,5,4,4,3,3,4,"The mentor roundtable during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd (wish there had been more time)! From my perspective, the networking breakouts during Mentor Office Hours really clicked for me, the mentors were down-to-earth and answered real questions.",2023-08-28 01:18:00
156,119,5,2022-04-14 10:00:00,4,4,4,5,2,4.25,"There were concrete examples I can reuse at school, the gallery walk during Intro to Painting Class really clicked for me! The color theory lesson during Intro to Painting Class really clicked for me, I met people who want to collaborate on projects — which surprised me in a good way. I met people who want to collaborate on projects, the sketch warmups during Intro to Painting Class really clicked for me.",2022-04-15 11:26:00
157,120,3,2022-06-14 10:00:00,4,5,4,5,2,4.5,"In my opinion, I left with actionable next steps, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me! At first, the networking breakouts during Girls in STEAM Mentoring really clicked for me, the mentors were down-to-earth and answered real questions; I'd come again and bring a classmate next time!",2022-06-14 16:29:00
158,120,8,2025-07-04 10:00:00,4,5,5,5,2,4.75,"From my perspective, the web dev sprint during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions; I'd definitely recommend this to a friend. — next time I'd bring a friend. If I'm being honest, the Python lab during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions; This was absolutely worth the time.",2025-07-05 02:21:00
159,121,1,2024-06-30 10:00:00,4,4,5,5,2,4.5,"The goal-setting exercise during Mentor Office Hours really clicked for me, the mentors were down-to-earth and answered real questions. The pacing made complex ideas feel doable, the panel Q&A during Mentor Office Hours really clicked for me.",2024-07-02 02:19:00
160,121,2,2025-06-21 10:00:00,4,3,4,4,1,3.75,"To be fair, not every topic applied to me, but I took notes for later, and the coding challenges was helpful during Robotics Lab Saturday. It was useful overall. (wish there had been more time)! Not every topic applied to me, but I took notes for later, and the data activity was helpful during Robotics Lab Saturday — especially for beginners!",2025-06-22 15:25:00
161,121,3,2025-03-25 10:00:00,5,4,4,4,1,4.25,"To be fair, I left with actionable next steps, the networking breakouts during Girls in STEAM Mentoring really clicked for me — next time I'd bring a friend. It boosted my confidence more than I expected, the panel Q&A during Girls in STEAM Mentoring really clicked for me; I'd attend again with a clearer agenda. (snacks were a plus). The networking breakouts during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected; I'm curious to see how the next session improves.",2025-03-26 15:10:00
162,121,6,2022-05-25 10:00:00,4,5,5,4,1,4.5,"In my opinion, the hands-on segment tied everything together, the web dev sprint during Data Science Study Group really clicked for me! The mentors were down-to-earth and answered real questions, the Python lab during Data Science Study Group really clicked for me. There were concrete examples I can reuse at school, the robot build during Data Science Study Group really clicked for me (wish there had been more time).",2022-05-27 05:13:00
163,121,6,2022-07-06 10:00:00,5,5,5,5,2,5,"It boosted my confidence more than I expected, the robot build during Data Science Study Group really clicked for me! By the end, the Python lab during Data Science Study Group really clicked for me, it boosted my confidence more than I expected; This pushed me to apply for a related program. Surprisingly, the pacing made complex ideas feel doable, the data activity during Data Science Study Group really clicked for me (snacks were a plus).",2022-07-07 00:16:00
164,121,2,2024-06-01 10:00:00,4,3,5,5,2,4.25,"There were concrete examples I can reuse at school, the data activity during Robotics Lab Saturday really clicked for me; I'm curious to see how the next session improves. Overall, I left with actionable next steps, the robot build during Robotics Lab Saturday really clicked for me.",2024-06-01 13:18:00
165,122,8,2025-01-31 10:00:00,4,4,4,5,2,4.25,"The robot build during Web Dev Bootcamp Night really clicked for me, it boosted my confidence more than I expected! The Python lab during Web Dev Bootcamp Night really clicked for me, I left with actionable next steps; I'm curious to see how the next session improves. From my perspective, the pacing made complex ideas feel doable, the data activity during Web Dev Bootcamp Night really clicked for me; I'm curious to see how the next session improves.",2025-01-31 20:28:00
166,122,1,2023-10-15 10:00:00,5,4,5,5,2,4.75,"The mentor roundtable during Mentor Office Hours really clicked for me, there were concrete examples I can reuse at school! The organizers ran things smoothly even with a big crowd, the resume clinic during Mentor Office Hours really clicked for me — which surprised me in a good way.",2023-10-16 03:28:00
167,123,8,2024-12-27 10:00:00,5,4,5,5,2,4.75,"From my perspective, the data activity during Web Dev Bootcamp Night really clicked for me, there were concrete examples I can reuse at school; This pushed me to apply for a related program! From my perspective, the hands-on segment tied everything together, the web dev sprint during Web Dev Bootcamp Night really clicked for me; I'd come again and bring a classmate next time. From my perspective, the data activity during Web Dev Bootcamp Night really clicked for me, there were concrete examples I can reuse at school. The Python lab during Web Dev Bootcamp Night really clicked for me, I met people who want to collaborate on projects; This was absolutely worth the time.",2024-12-28 09:00:00
168,124,3,2022-02-15 10:00:00,4,4,5,4,1,4.25,"At first, the resume clinic during Girls in STEAM Mentoring really clicked for me, the mentors were down-to-earth and answered real questions. If I'm being honest, the hands-on segment tied everything together, the resume clinic during Girls in STEAM Mentoring really clicked for me. Overall, there were concrete examples I can reuse at school, the resume clinic during Girls in STEAM Mentoring really clicked for me.",2022-02-15 23:03:00
169,126,8,2025-08-15 10:00:00,4,4,5,5,2,4.5,"If I'm being honest, the Arduino demo during Web Dev Bootcamp Night really clicked for me, I met people who want to collaborate on projects; I left energized to keep learning. Overall, the pacing made complex ideas feel doable, the robot build during Web Dev Bootcamp Night really clicked for me; I left energized to keep learning. — next time I'd bring a friend! Overall, I left with actionable next steps, the data activity during Web Dev Bootcamp Night really clicked for me; I'd come again and bring a classmate next time!",2025-08-16 12:17:00
170,127,10,2024-10-15 10:00:00,5,5,5,5,2,5,"The organizers ran things smoothly even with a big crowd, the mixed-media project during Monthly Art Studio Workshop really clicked for me; This was absolutely worth the time. I left with actionable next steps, the watercolor session during Monthly Art Studio Workshop really clicked for me — which surprised me in a good way. I left with actionable next steps, the gallery walk during Monthly Art Studio Workshop really clicked for me; I'd definitely recommend this to a friend.",2024-10-15 20:29:00
171,128,2,2025-08-23 10:00:00,5,4,5,5,2,4.75,"There were concrete examples I can reuse at school, the data activity during Robotics Lab Saturday really clicked for me; I'd come again and bring a classmate next time. At first, the data activity during Robotics Lab Saturday really clicked for me, it boosted my confidence more than I expected; I left energized to keep learning.",2025-08-24 19:04:00
172,128,6,2025-04-16 10:00:00,5,5,5,5,2,5,"If I'm being honest, the data activity during Data Science Study Group really clicked for me, the pacing made complex ideas feel doable! The coding challenges during Data Science Study Group really clicked for me, the mentors were down-to-earth and answered real questions. The web dev sprint during Data Science Study Group really clicked for me, the pacing made complex ideas feel doable.",2025-04-17 01:13:00
173,129,3,2023-12-12 10:00:00,4,5,5,5,2,4.75,"At first, the organizers ran things smoothly even with a big crowd, the mentor roundtable during Girls in STEAM Mentoring really clicked for me — next time I'd bring a friend. The mentor roundtable during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected.",2023-12-14 03:22:00
174,130,1,2022-10-02 10:00:00,4,5,4,4,1,4.25,"Surprisingly, the networking breakouts during Mentor Office Hours really clicked for me, the pacing made complex ideas feel doable; I'd attend again with a clearer agenda. (wish there had been more time). The organizers ran things smoothly even with a big crowd, the networking breakouts during Mentor Office Hours really clicked for me; I'm curious to see how the next session improves. (wish there had been more time). The networking breakouts during Mentor Office Hours really clicked for me, I met people who want to collaborate on projects; I might recommend it depending on the topic. — which surprised me in a good way.",2022-10-03 08:02:00
175,131,5,2024-08-29 10:00:00,5,4,5,5,2,4.75,"The sketch warmups during Intro to Painting Class really clicked for me, the mentors were down-to-earth and answered real questions; This pushed me to apply for a related program. — next time I'd bring a friend. It boosted my confidence more than I expected, the gallery walk during Intro to Painting Class really clicked for me; I left energized to keep learning. The watercolor session during Intro to Painting Class really clicked for me, it boosted my confidence more than I expected; I left energized to keep learning!",2024-08-29 12:16:00
176,132,1,2023-06-25 10:00:00,5,4,4,5,2,4.5,"The goal-setting exercise during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I'd come again and bring a classmate next time. (wish there had been more time). The networking breakouts during Mentor Office Hours really clicked for me, I left with actionable next steps; This pushed me to apply for a related program! There were concrete examples I can reuse at school, the panel Q&A during Mentor Office Hours really clicked for me; This was absolutely worth the time!",2023-06-25 15:16:00
177,133,10,2022-12-15 10:00:00,4,5,4,5,2,4.5,"The watercolor session during Monthly Art Studio Workshop really clicked for me, it boosted my confidence more than I expected (snacks were a plus). The mixed-media project during Monthly Art Studio Workshop really clicked for me, the organizers ran things smoothly even with a big crowd (wish there had been more time).",2022-12-17 01:28:00
178,134,2,2023-07-15 10:00:00,5,5,3,4,1,4.25,"Surprisingly, the Python lab during Robotics Lab Saturday really clicked for me, there were concrete examples I can reuse at school. I met people who want to collaborate on projects, the web dev sprint during Robotics Lab Saturday really clicked for me.",2023-07-16 22:11:00
